radar,date,season,download?,status,contamination type,target_id,screener,surface wind (m/s),wind direction,time,target speed (m/s),ground heading,comments
KMOB,8/15/2002,Fall,y,,,,,,,,,,
KMOB,8/16/2002,Fall,y,,,,,,,,,,
KMOB,8/17/2002,Fall,y,,,,,,,,,,
KMOB,8/18/2002,Fall,y,,,,,,,,,,
KMOB,8/19/2002,Fall,y,,,,,,,,,,
KMOB,8/20/2002,Fall,y,,,,,,,,,,
KMOB,8/21/2002,Fall,y,,,,,,,,,,
KMOB,8/22/2002,Fall,y,,,,,,,,,,
KMOB,8/23/2002,Fall,y,,,,,,,,,,
KMOB,8/24/2002,Fall,y,,,,,,,,,,
KMOB,8/25/2002,Fall,y,,,,,,,,,,
KMOB,8/26/2002,Fall,y,,,,,,,,,,
KMOB,8/27/2002,Fall,y,,,,,,,,,,
KMOB,8/28/2002,Fall,n,,,,,,,,,,
KMOB,8/29/2002,Fall,y,,,,,,,,,,
KMOB,8/30/2002,Fall,y,,,,,,,,,,
KMOB,8/31/2002,Fall,n,,,,,,,,,,
KMOB,9/1/2002,Fall,y,,,,,,,,,,
KMOB,9/2/2002,Fall,y,,,,,,,,,,
KMOB,9/3/2002,Fall,y,,,,,,,,,,
KMOB,9/4/2002,Fall,y,,,,,,,,,,
KMOB,9/5/2002,Fall,y,,,,,,,,,,
KMOB,9/6/2002,Fall,n,,,,,,,,,,
KMOB,9/7/2002,Fall,y,,,,,,,,,,
KMOB,9/8/2002,Fall,y,,,,,,,,,,
KMOB,9/9/2002,Fall,y,,,,,,,,,,
KMOB,9/10/2002,Fall,y,,,,,,,,,,
KMOB,9/11/2002,Fall,y,,,,,,,,,,
KMOB,9/12/2002,Fall,y,,,,,,,,,,
KMOB,9/13/2002,Fall,y,,,,,,,,,,
KMOB,9/14/2002,Fall,y,,,,,,,,,,
KMOB,9/15/2002,Fall,y,,,,,,,,,,
KMOB,9/16/2002,Fall,y,,,,,,,,,,
KMOB,9/17/2002,Fall,y,,,,,,,,,,
KMOB,9/18/2002,Fall,y,,,,,,,,,,
KMOB,9/19/2002,Fall,y,,,,,,,,,,
KMOB,9/20/2002,Fall,y,,,,,,,,,,
KMOB,9/21/2002,Fall,y,,,,,,,,,,
KMOB,9/22/2002,Fall,y,,,,,,,,,,
KMOB,9/23/2002,Fall,y,,,,,,,,,,
KMOB,9/24/2002,Fall,y,,,,,,,,,,
KMOB,9/25/2002,Fall,y,,,,,,,,,,
KMOB,9/26/2002,Fall,y,,,,,,,,,,
KMOB,9/27/2002,Fall,y,,,,,,,,,,
KMOB,9/28/2002,Fall,y,,,,,,,,,,
KMOB,9/29/2002,Fall,y,,,,,,,,,,
KMOB,9/30/2002,Fall,y,,,,,,,,,,
KMOB,10/1/2002,Fall,y,,,,,,,,,,
KMOB,10/2/2002,Fall,y,,,,,,,,,,
KMOB,10/3/2002,Fall,y,,,,,,,,,,
KMOB,10/4/2002,Fall,y,,,,,,,,,,
KMOB,10/5/2002,Fall,y,,,,,,,,,,
KMOB,10/6/2002,Fall,y,,,,,,,,,,
KMOB,10/7/2002,Fall,y,,,,,,,,,,
KMOB,10/8/2002,Fall,y,,,,,,,,,,
KMOB,10/9/2002,Fall,y,,,,,,,,,,
KMOB,10/10/2002,Fall,y,,,,,,,,,,
KMOB,10/11/2002,Fall,y,,,,,,,,,,
KMOB,10/12/2002,Fall,y,,,,,,,,,,
KMOB,10/13/2002,Fall,y,,,,,,,,,,
KMOB,10/14/2002,Fall,y,,,,,,,,,,
KMOB,10/15/2002,Fall,y,,,,,,,,,,
KMOB,10/16/2002,Fall,y,,,,,,,,,,
KMOB,10/17/2002,Fall,y,,,,,,,,,,
KMOB,10/18/2002,Fall,y,,,,,,,,,,
KMOB,10/19/2002,Fall,y,,,,,,,,,,
KMOB,10/20/2002,Fall,y,,,,,,,,,,
KMOB,10/21/2002,Fall,y,,,,,,,,,,
KMOB,10/22/2002,Fall,y,,,,,,,,,,
KMOB,10/23/2002,Fall,y,,,,,,,,,,
KMOB,10/24/2002,Fall,y,,,,,,,,,,
KMOB,10/25/2002,Fall,y,,,,,,,,,,
KMOB,10/26/2002,Fall,y,,,,,,,,,,
KMOB,10/27/2002,Fall,y,,,,,,,,,,
KMOB,10/28/2002,Fall,y,,,,,,,,,,
KMOB,10/29/2002,Fall,y,,,,,,,,,,
KMOB,10/30/2002,Fall,y,,,,,,,,,,
KMOB,10/31/2002,Fall,y,,,,,,,,,,
